x / R, 2/(rho * pi * R^2) * dmdx
0,0
0.001067236,0.038650307
0.001567236,0.083742331
0.002134472,0.20398773
0.004268943,0.304907975
0.006403415,0.37791411
0.008537887,0.453067485
0.010672359,0.506748466
0.01280683,0.556134969
0.014941302,0.590490798
0.017075774,0.626993865
0.020277481,0.665644172
0.023479189,0.704294479
0.026680896,0.738650307
0.029882604,0.783742331
0.034151547,0.809509202
0.038420491,0.839570552
0.041622199,0.867484663
0.048025614,0.888957055
0.054429029,0.919018405
0.060929452,0.946932515
0.068691176,0.969570015
0.077423112,0.992994439
0.087125259,1.014466833
0.095857162,1.030083138
0.106529521,1.041795317
0.118172123,1.053507561
0.129814693,1.059363651
0.142427475,1.061315681
0.154070045,1.057411621
0.164742404,1.049603502
0.175414762,1.041795317
0.186087121,1.032035168
0.197729691,1.022274953
0.208751341,1.008610744
0.220704395,0.995889544
0.232657417,0.982147226
0.244610472,0.966687077
0.256563494,0.949509163
0.265955189,0.93404908
0.277054436,0.918588931
0.287299906,0.901411017
0.296691569,0.884233103
0.306083264,0.867055189
0.316328702,0.851595105
0.326574173,0.834417191
0.335965868,0.817239277
0.345357531,0.801779128
0.356456777,0.786318979
0.364994664,0.7674233
0.374386326,0.751963151
0.383778054,0.736503067
0.394877268,0.721042919
0.406830323,0.702147239
0.418783377,0.681533664
0.431590207,0.66435575
0.443543262,0.643742305
0.457203868,0.624846626
0.469156923,0.60079752
0.480256137,0.58190184
0.491355416,0.563006161
0.502454629,0.545828247
0.514407684,0.526932437
0.526360739,0.508036757
0.538313793,0.489141078
0.548559232,0.470245399
0.560512286,0.456503015
0.574172892,0.439325101
0.587833498,0.420429422
0.598932802,0.403251508
0.608324464,0.389509198
0.619423678,0.377484579
0.629669181,0.365460092
0.641622236,0.351717708
0.65272145,0.337975455
0.663820729,0.324233071
0.674919943,0.312208584
0.688580614,0.2984662
0.697972276,0.284723948
0.70907149,0.272699329
0.720170769,0.260674842
0.732123824,0.248650223
0.744076878,0.236625736
0.75859126,0.224601248
0.772251866,0.21257663
0.785058696,0.198834377
0.798719302,0.186809759
0.814087525,0.174785271
0.832017074,0.162760653
0.849946624,0.1490184
0.862753454,0.136993781
0.878121676,0.128404824
0.891782282,0.118098102
0.906296729,0.109509145
0.920811111,0.100920188
0.937886884,0.092331231
0.954962658,0.083742274
0.972038432,0.075153317
0.986552814,0.068282125
1.000213485,0.061411064
1.15,0.0
